From_ID,To_ID,Distance_Miles,Time_Mins
12,21,280.5864,236.2166666666667
12,22,193.3856,163.7166666666667
12,23,269.0326,254.6
12,24,113.934,109.7833333333333
12,25,175.0179,158.9333333333333
12,27,211.5875,178.9
12,28,134.8655,118.5833333333333
12,29,167.3328,144.15
12,30,236.067,196.15
12,31,210.4951,177.05
12,32,138.7112,133.5333333333333
12,33,75.0405,71.48333333333333
12,34,220.7806,193.35
12,35,263.2277,225.0833333333333
12,36,220.9907,198.4666666666667
12,37,116.7619,106.9333333333333
13,1,149.5367,129.35
13,2,154.4747,133.2833333333333
13,3,150.2345,129.7333333333333
13,4,157.6754,139.9333333333333
13,5,154.6108,135.0166666666667
13,6,146.5038,125.95
13,7,167.1252,142.15
13,8,133.9527,123.95
13,9,149.679,130.8
13,10,54.2687,54.06666666666667
13,11,44.6182,43.2
13,12,37.0517,39.56666666666667
13,14,45.0991,42.51666666666667
13,15,45.7441,45.38333333333333
13,16,199.9125,190.8833333333333
13,17,182.1817,184.1
13,18,191.478,182.5
13,19,84.4027,88.1
13,20,101.4183,103.4166666666667
13,21,221.9296,208.6
13,22,134.7288,136.1
13,23,213.8424,220.5333333333333
13,24,148.5394,139.4333333333333
13,25,202.3054,182.35
13,27,238.875,202.3166666666667
13,28,160.0074,139.7166666666667
13,29,194.6203,167.5666666666667
13,30,263.3545,219.5666666666667
13,31,237.7826,200.4666666666667
13,32,165.9987,156.95
13,33,109.7963,101.5666666666667
13,34,248.0682,216.7666666666667
13,35,290.5153,248.5
13,36,246.1326,219.6
13,37,136.0728,127.15
14,1,106.5968,92.18333333333334
14,2,111.5349,96.11666666666666
14,3,107.2946,92.56666666666666
14,4,114.7356,102.7666666666667
14,5,111.671,97.85
14,6,103.5639,88.78333333333333
14,7,124.1854,104.9833333333333
14,8,91.0129,86.78333333333333
14,9,106.7391,93.63333333333334
14,10,7.9877,14.35
14,11,1.5572,4.383333333333334
14,12,17.5544,21.68333333333333
14,13,45.1047,43.1
14,15,4.7591,9.733333333333333
14,16,238.8327,226.6833333333333
14,17,226.9664,225.7
14,18,230.3982,218.3
14,19,123.3229,123.9
14,20,140.3385,139.2166666666667
14,21,266.3781,223.0666666666667
14,22,179.1774,150.5666666666667
14,23,258.6271,262.1333333333333
14,24,110.7942,106.2333333333333
14,25,159.3656,145.1833333333333
14,27,195.9351,165.15
14,28,120.6572,105.4333333333333
14,29,151.6804,130.4
14,30,220.4147,182.4
14,31,194.8427,163.3
14,32,123.0588,119.7833333333333
14,33,66.3395,62.46666666666667
14,34,205.1283,179.6
14,35,247.5754,211.3333333333333
14,36,206.7824,185.3166666666667
14,37,97.3757,97.05
15,1,109.6173,95.16666666666667
15,2,114.5554,99.1
15,3,110.3151,95.55
15,4,117.7561,105.75
15,5,114.6915,100.8333333333333
15,6,106.5844,91.76666666666667
15,7,127.2059,107.9666666666667
15,8,94.0333,89.76666666666667
15,9,109.7596,96.61666666666666
15,10,7.6199,13.83333333333333
15,11,5.4084,11.53333333333333
15,12,13.641,17.28333333333333
15,13,45.8243,45.95
15,14,4.7585,9.6
15,16,234.9193,222.2833333333333
15,17,226.5321,223.05
15,18,226.4848,213.9
15,19,119.4095,119.5
15,20,136.4252,134.8166666666667
15,21,270.8408,227.9
15,22,183.64,155.4
15,23,259.3467,264.9833333333333
15,24,107.0244,103.4166666666667
15,25,162.386,148.1666666666667
15,27,198.9556,168.1333333333333
15,28,125.1199,110.2666666666667
15,29,154.7009,133.3833333333333
15,30,223.4351,185.3833333333333
15,31,197.8632,166.2833333333333
15,32,126.0793,122.7666666666667
15,33,63.7198,62.0
15,34,208.1488,182.5833333333333
15,35,250.5959,214.3166666666667
15,36,211.2451,190.15
15,37,105.4411,97.45
16,1,344.9741,283.45
16,2,349.9121,287.3833333333333
16,3,345.6719,283.8333333333333
16,4,355.2218,291.9333333333333
16,5,349.9892,287.7
16,6,332.7194,273.0833333333333
16,7,362.4079,296.3166666666667
16,8,327.5838,306.8833333333333
16,9,345.1512,284.5833333333333
16,10,241.1703,230.95
16,11,238.2946,227.4333333333333
16,12,221.996,212.0166666666667
16,13,199.4409,191.8
16,14,239.5815,227.0666666666667
16,15,234.6111,223.85
16,17,64.796,60.98333333333333
16,18,9.1926,14.2
16,19,119.2281,113.7833333333333
16,20,100.1582,97.61666666666666
16,21,176.6471,151.4166666666667
16,22,192.5517,162.4166666666667
16,23,123.1545,110.9166666666667
16,24,234.9653,204.8833333333333
16,25,396.8965,333.35
16,27,433.8035,355.8166666666667
16,28,310.3904,258.0833333333333
16,29,389.5513,321.0833333333333
16,30,458.6372,373.7333333333333
16,31,433.0653,354.6333333333333
16,32,359.6298,339.8833333333333
16,33,274.9884,264.7833333333334
16,34,443.4304,364.4333333333333
16,35,485.4438,402.0
16,36,386.693,335.2833333333334
16,37,316.7098,300.2333333333333
17,1,291.9749,241.1166666666667
17,2,296.9129,245.05
17,3,292.6727,241.5
17,4,302.2225,249.6
17,5,296.99,245.3666666666667
17,6,279.7202,230.75
17,7,309.4087,253.9833333333333
17,8,324.5527,269.2166666666666
17,9,292.152,242.25
17,10,233.3622,229.9166666666667
17,11,219.0632,224.6
17,12,214.1879,210.9833333333333
17,13,175.2167,182.1
17,14,220.0456,223.85
17,15,226.803,222.8166666666667
17,16,64.2591,59.28333333333333
17,18,63.0636,58.81666666666667
17,19,111.4106,111.95
17,20,104.4258,101.8333333333333
17,21,112.3539,96.13333333333334
17,22,139.5525,120.0833333333333
17,23,58.8501,55.8
17,24,293.253,247.8666666666667
17,25,343.8973,291.0166666666667
17,27,380.8042,313.4833333333333
17,28,257.3912,215.75
17,29,336.552,278.75
17,30,405.6379,331.4
17,31,380.066,312.3
17,32,372.8612,316.5166666666667
17,33,288.1509,276.8
17,34,390.4311,322.1
17,35,432.4445,359.6666666666667
17,36,333.6937,292.95
17,37,311.0193,308.4833333333333
18,1,337.0094,274.2
18,2,341.9474,278.1333333333333
18,3,337.7072,274.5833333333333
18,4,347.257,282.6833333333333
18,5,342.0245,278.45
18,6,324.7547,263.8333333333333
18,7,354.4432,287.0666666666667
18,8,319.619,297.6333333333333
18,9,337.1865,275.3333333333333
18,10,233.2056,221.7
18,11,230.3299,218.1833333333333
18,12,214.0313,202.7666666666667
18,13,191.4762,182.55
18,14,231.6167,217.8166666666667
18,15,226.6464,214.6
18,16,9.7089,15.33333333333333
18,17,63.7838,60.38333333333333
18,19,111.2633,104.5333333333333
18,20,92.1935,88.36666666666666
18,21,175.6275,150.4833333333333
18,22,184.587,153.1666666666667
18,23,122.1349,109.9833333333333
18,24,237.8764,199.8666666666667
18,25,388.9318,324.1
18,27,425.8387,346.5666666666667
18,28,302.4257,248.8333333333333
18,29,381.5865,311.8333333333333
18,30,450.6724,364.4833333333333
18,31,425.1005,345.3833333333333
18,32,351.665,330.6333333333333
18,33,267.0237,255.5333333333333
18,34,435.4656,355.1833333333333
18,35,477.479,392.75
18,36,378.7282,326.0333333333334
18,37,308.7451,290.9833333333333
19,1,228.1066,208.0666666666667
19,2,233.0446,212.0
19,3,228.8044,208.45
19,4,236.2453,218.65
19,5,233.1217,212.3166666666667
19,6,225.0737,204.6666666666667
19,7,245.6951,220.8666666666667
19,8,212.5226,202.6666666666667
19,9,228.2837,209.2
19,10,126.1091,126.7333333333333
19,11,123.2334,123.2166666666667
19,12,106.9349,107.8
19,13,84.3797,87.58333333333333
19,14,124.5203,122.85
19,15,119.55,119.6333333333333
19,16,119.4804,111.7333333333333
19,17,111.1938,112.1833333333333
19,18,111.0459,103.35
19,20,20.9862,24.26666666666667
19,21,195.3678,176.4833333333333
19,22,109.2066,105.1166666666667
19,23,165.7377,155.3666666666667
19,24,174.2828,165.3
19,25,280.029,257.9666666666666
19,27,316.936,280.4333333333333
19,28,228.4061,202.7166666666667
19,29,272.6813,245.6833333333333
19,30,341.9244,298.2833333333334
19,31,316.3525,279.1833333333333
19,32,244.5686,235.6666666666667
19,33,180.8979,173.6166666666667
19,34,326.5629,289.05
19,35,368.5763,326.6166666666667
19,36,287.053,278.2
19,37,215.1858,207.1333333333333
20,1,244.9451,222.8166666666667
20,2,249.8832,226.75
20,3,245.6429,223.2
20,4,255.2027,232.0
20,5,249.9602,227.0666666666667
20,6,252.844,220.05
20,7,262.5337,235.6166666666667
20,8,229.3612,217.4166666666667
20,9,245.1222,223.95
20,10,142.9477,141.4833333333333
20,11,140.072,137.9666666666667
20,12,123.7734,122.55
20,13,101.2183,102.3333333333333
20,14,141.3588,137.6
20,15,136.3885,134.3833333333333
20,16,100.4987,96.11666666666666
20,17,102.9482,103.85
20,18,92.0642,87.73333333333333
20,19,21.0055,24.31666666666667
20,21,184.2651,171.0
20,22,112.6763,109.3833333333333
20,23,157.4921,147.0333333333333
20,24,186.4716,177.7
20,25,296.8675,272.7166666666666
20,27,333.7745,295.1833333333333
20,28,230.515,205.05
20,29,289.5223,260.45
20,30,358.7629,313.0333333333334
20,31,333.191,293.9333333333333
20,32,261.4071,250.4166666666667
20,33,197.7365,188.3666666666667
20,34,343.4014,303.8
20,35,385.4148,341.3666666666667
20,36,306.8176,282.25
20,37,232.0244,221.8833333333333
21,1,245.8778,203.8666666666667
21,2,250.8159,207.8
21,3,246.5756,204.25
21,4,254.0165,214.45
21,5,250.8929,208.1166666666667
21,6,233.6231,193.5
21,7,263.3116,216.7333333333333
21,8,278.4557,231.9666666666667
21,9,246.0549,205.0
21,10,274.4808,229.5166666666667
21,11,265.3597,220.6
21,12,280.6553,233.5666666666667
21,13,221.3169,205.3333333333333
21,14,266.0289,219.6333333333333
21,15,270.7072,224.95
21,16,175.9114,149.1666666666667
21,17,112.3017,95.43333333333334
21,18,174.7159,148.7
21,19,195.2075,173.7833333333333
21,20,183.9669,168.0166666666667
21,22,89.5551,78.2
21,23,68.6249,64.95
21,24,356.0681,316.1333333333333
21,25,297.8002,253.7666666666667
21,27,334.7072,276.2333333333333
21,28,211.2942,178.5
21,29,290.4525,241.4833333333333
21,30,359.5409,294.15
21,31,333.969,275.05
21,32,326.7642,279.2666666666667
21,33,332.0726,279.6666666666667
21,34,344.3341,284.85
21,35,386.3475,322.4166666666667
21,36,238.6606,222.0833333333333
21,37,353.6702,300.9833333333333
22,1,158.9847,133.65
22,2,163.9227,137.5833333333333
22,3,159.6825,134.0333333333333
22,4,167.1234,144.2333333333333
22,5,164.0588,139.3166666666667
22,6,146.8325,123.4833333333333
22,7,176.4185,146.5166666666667
22,8,191.5625,161.75
22,9,159.1269,135.1
22,10,187.5876,159.3
22,11,178.4665,150.3833333333333
22,12,193.7622,163.35
22,13,134.4237,135.1166666666667
22,14,179.1357,149.4166666666667
22,15,183.814,154.7333333333333
22,16,193.3483,160.8666666666667
22,17,139.7843,120.4
22,18,184.9139,152.4833333333333
22,19,109.288,104.5
22,20,112.8783,109.2166666666667
22,21,90.1504,81.35
22,23,131.3454,124.7166666666667
22,24,270.1486,246.85
22,25,211.7534,186.65
22,27,248.3229,206.6166666666667
22,28,124.401,108.2833333333333
22,29,204.0682,171.8666666666667
22,30,272.6477,223.9333333333333
22,31,247.0758,204.8333333333333
22,32,240.662,208.4833333333333
22,33,245.1794,209.45
22,34,257.5161,221.0666666666667
22,35,299.9632,252.8
22,36,178.9878,178.2166666666667
22,37,266.777,230.7666666666667
23,1,289.5024,249.3
23,2,294.4405,253.2333333333333
23,3,290.2002,249.6833333333333
23,4,299.7501,257.7833333333334
23,5,294.5175,253.55
23,6,277.2477,238.9333333333333
23,7,306.9362,262.1666666666667
23,8,322.0803,277.4
23,9,289.6795,250.4333333333333
23,10,287.6159,273.0666666666667
23,11,257.4067,263.5
23,12,268.4417,254.1333333333333
23,13,213.5603,221.0
23,14,258.3891,262.75
23,15,259.0341,265.6166666666667
23,16,122.6288,109.1333333333333
23,17,59.0191,55.4
23,18,121.4333,108.6666666666667
23,19,165.6644,155.1
23,20,157.4188,146.8333333333333
23,21,68.0768,64.48333333333333
23,22,130.9186,124.5166666666667
23,24,351.6228,297.7166666666666
23,25,341.4248,299.2
23,27,378.3318,321.6666666666667
23,28,254.9188,223.9333333333333
23,29,334.0796,286.9333333333333
23,30,403.1655,339.5833333333333
23,31,377.5936,320.4833333333333
23,32,370.3888,324.7
23,33,342.4047,319.95
23,34,387.9587,330.2833333333334
23,35,429.9721,367.85
23,36,305.9302,277.7166666666666
23,37,397.2948,346.4166666666667
24,1,214.0966,191.6333333333333
24,2,219.0346,195.5666666666667
24,3,214.7944,192.0166666666667
24,4,222.2353,202.2166666666667
24,5,219.1116,195.8833333333333
24,6,211.0636,188.2333333333333
24,7,231.6851,204.4333333333333
24,8,205.2022,173.2
24,9,214.2736,192.7666666666667
24,10,112.0991,110.3
24,11,110.6507,108.1666666666667
24,12,113.4077,109.7833333333333
24,13,148.3486,140.0333333333333
24,14,110.5102,106.4166666666667
24,15,106.0805,103.1833333333333
24,16,234.7795,201.2
24,17,294.177,248.55
24,18,237.8037,198.8166666666667
24,19,177.0063,163.8
24,20,186.7544,176.8333333333333
24,21,356.3464,318.1833333333333
24,22,270.1852,246.8166666666667
24,23,352.5356,298.4833333333333
24,25,266.0189,241.5333333333333
24,27,302.9259,264.0
24,28,228.1402,205.6666666666667
24,29,258.6737,229.2666666666667
24,30,327.9144,281.85
24,31,302.3424,262.75
24,32,222.0165,198.1833333333333
24,33,122.8873,107.0166666666667
24,34,280.198,258.0833333333333
24,35,354.5662,310.1833333333333
24,36,314.2653,285.55
24,37,164.7485,142.8333333333333
25,1,53.7977,56.96666666666667
25,2,47.6032,53.11666666666667
25,3,53.1303,57.06666666666667
25,4,43.4556,49.13333333333333
25,5,47.9798,53.3
25,6,67.2392,71.36666666666666
25,7,55.2355,63.18333333333333
25,8,80.987,80.3
25,9,53.592,57.45
25,10,157.507,140.7
25,11,157.9799,141.4833333333333
25,12,174.184,156.1833333333333
25,13,199.7124,177.8833333333333
25,14,158.4608,140.8
25,15,161.2943,144.7833333333333
25,16,397.0854,331.8833333333333
25,17,343.5213,291.4166666666667
25,18,388.6509,323.5
25,19,279.9526,258.4
25,20,296.9682,273.7166666666666
25,21,298.2203,257.1166666666667
25,22,211.0195,184.6166666666667
25,23,341.3279,299.2833333333334
25,24,265.7182,240.7333333333333
25,27,70.7133,68.3
25,28,128.9668,130.65
25,29,28.2438,34.16666666666666
25,30,146.9238,139.0166666666667
25,31,121.3519,119.9166666666667
25,32,60.4495,68.33333333333333
25,33,160.6363,141.75
25,34,65.7249,62.25
25,35,122.3536,114.4833333333333
25,36,175.5902,173.9
25,37,120.7424,129.5
27,1,91.3509,80.75
27,2,84.2598,74.48333333333333
27,3,89.7869,78.43333333333334
27,4,81.7637,74.15
27,5,84.6363,74.66666666666667
27,6,102.4132,93.15
27,7,85.894,82.41666666666667
27,8,118.4271,103.4166666666667
27,9,91.1452,81.23333333333333
27,10,194.4681,163.8166666666667
27,11,194.9409,164.6
27,12,211.145,179.3
27,13,236.6735,201.0
27,14,195.4219,163.9166666666667
27,15,198.2553,167.9
27,16,434.0464,355.0
27,17,380.4824,314.5333333333334
27,18,425.6119,346.6166666666667
