Day,Depot,Inv,Col
1,2,0.0,0.0
1,3,153.191720556185,0.0
1,4,168.485284373248,0.0
1,5,171.021429192297,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,167.473279224013,0.0
1,9,0.0,0.0
1,10,145.472813453191,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.0,0.0
1,14,153.911334301975,0.0
1,15,0.0,0.0
1,16,0.0,0.0
1,17,0.0,0.0
1,18,0.0,0.0
1,19,0.0,0.0
1,20,107.118704234918,0.0
1,21,141.066966437747,0.0
1,22,0.0,0.0
1,23,153.736203565421,0.0
1,24,0.0,0.0
1,25,0.0,0.0
1,27,0.0,0.0
1,28,0.0,0.0
1,29,0.0,0.0
1,30,0.0,0.0
1,31,0.0,0.0
1,32,0.0,0.0
1,33,0.0,0.0
1,34,85.4137845301028,0.0
1,35,0.0,0.0
1,36,109.739700364127,0.0
1,37,0.0,0.0
2,2,148.002135295603,3.00462406032212e-14
2,3,153.191720556185,0.0
2,4,168.485284373248,-1.95369557929174e-15
2,5,171.021429192297,0.0
2,6,151.627267288786,0.0
2,7,133.884120892374,0.0
2,8,313.711753151638,0.0
2,9,0.0,0.0
2,10,270.575565192854,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,153.911334301975,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,138.212837537223,0.0
2,19,0.0,0.0
2,20,229.84659804285,0.0
2,21,141.066966437747,0.0
2,22,144.301869428255,0.0
2,23,153.736203565421,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,27,65.4369532486901,0.0
2,28,0.0,0.0
2,29,0.0,0.0
2,30,116.462475596855,0.0
2,31,0.0,0.0
2,32,0.0,0.0
2,33,0.0,0.0
2,34,85.4137845301028,0.0
2,35,0.0,0.0
2,36,109.739700364127,0.0
2,37,0.0,0.0
3,2,148.002135295603,0.0
3,3,297.643268345743,0.0
3,4,168.485284373248,0.0
3,5,171.021429192297,0.0
3,6,151.627267288786,0.0
